,Title,Published_date,Views,Likes,Dislikes,Comments,Month
0,How to Survive a Down Data Job Market,2023-09-05,12845,404,0,60,Sep
1,The Harsh Reality of the Data Job Market,2023-08-24,94325,2340,0,274,Aug
2,7 Industries AI will Aggressively Disrupt,2023-08-14,5131,219,0,43,Aug
3,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,3581,116,0,47,Aug
4,7 Enticing Jobs AI Will Create,2023-07-24,4208,185,0,36,Jul
5,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,3827,136,0,31,Jul
6,Exciting Announcement!,2023-06-23,6442,290,0,50,Jun
7,AI: A Customer Service Revolution?,2023-05-26,3630,116,0,35,May
8,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,22124,787,0,56,May
9,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,29942,1274,0,77,May
10,This AI question will determine our future,2023-04-06,4171,261,0,37,Apr
11,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,70424,819,0,79,Apr
12,Your current portfolio is actually hurting you #shorts,2023-03-30,5977,362,0,7,Mar
13,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,6150,341,0,3,Mar
14,you're job searching wrong. #shorts,2023-03-23,3841,235,0,3,Mar
15,The Economics of Data Roles #shorts,2023-03-21,7252,469,0,10,Mar
16,Why your phone knows everything you say #shorts,2023-03-18,2635,120,0,7,Mar
17,Read these for a successful career. #shorts,2023-03-16,2841,227,0,2,Mar
18,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2352,44,0,5,Mar
19,How I Realized I Was a Bad Manager #shorts,2023-03-07,2520,118,0,1,Mar
20,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,19644,743,0,52,Mar
21,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,7440,256,0,12,Mar
22,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2461,158,0,2,Feb
23,Learning On the companies dime #shorts,2023-02-24,2996,171,0,1,Feb
24,The Best Way to Transition to Data Science? #shorts,2023-02-21,3748,244,0,6,Feb
25,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,6374,372,0,6,Feb
26,Don't Go into Data for the Money #shorts,2023-02-15,3645,216,0,12,Feb
27,First Data Science Project? Watch This.,2023-02-13,5947,329,0,22,Feb
28,How to Approach Applying for a Data Role #shorts,2023-02-08,3625,244,0,7,Feb
29,The Hard Reality of Data Science Work #shorts,2023-02-06,11676,707,0,10,Feb
30,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4377,183,0,6,Feb
31,These 3 Things Make Data Science Special #shorts,2023-02-01,4069,321,0,6,Feb
32,Will Data Science Be Automated? #shorts,2023-01-27,8079,371,0,8,Jan
33,Is Data Science A Good Fit For You? #shorts,2023-01-25,4916,283,0,11,Jan
34,5 Books I Wish I Read Earlier In My Career,2023-01-23,9033,510,0,50,Jan
35,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,4589,464,0,10,Jan
36,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6206,469,0,10,Jan
37,How long does it take to become a Data Scientist? #shorts,2023-01-12,5769,460,0,6,Jan
38,Where & how to start your Data Science Journey #shorts,2023-01-09,6550,412,0,2,Jan
39,How I Would NOT Learn Data Science in 2023.,2023-01-03,121190,4029,0,253,Jan
40,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4808,200,0,28,Dec
41,The Essential Programming Concepts For Learning Data Science,2022-11-14,20141,838,0,46,Nov
42,The Data Content House: What You Missed,2022-10-07,10404,348,0,50,Oct
43,Is Data Science A Good Career?,2022-09-29,59774,1892,0,137,Sep
44,IRON ANALYST (Teaser) #shorts,2022-09-27,5620,363,0,24,Sep
45,When a New Data Scientist Joins The Team,2022-08-29,16340,746,0,133,Aug
46,State of Data Science - Web Data,2022-08-05,10416,359,0,34,Aug
47,Data Science Town Hall - State of Data Science,2022-08-04,9949,376,0,38,Aug
48,The Programming Roadmap For Data Science,2022-07-29,27031,1286,0,64,Jul
49,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,73802,2825,0,90,Jun
50,Can AI Fix my Baseball Swing?,2022-06-10,7538,340,0,68,Jun
51,Every Data Scientist... (funny!),2022-05-24,16506,849,0,146,May
52,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15971,429,0,65,May
53,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,57412,1498,0,87,Apr
54,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,21005,879,0,113,Mar
55,Data Scientists VS NFT Scam,2022-03-03,4611,189,0,50,Mar
56,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,11125,511,0,144,Feb
57,What Professional Data Scientists ACTUALLY Do,2022-02-14,94952,3296,0,187,Feb
58,Can You Analyze My Data Better Than I Can?,2022-01-31,7290,323,0,62,Jan
59,Giving Back to My Most Engaged Subscribers!,2022-01-28,2324,119,0,89,Jan
60,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,29784,885,0,131,Jan
61,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8829,423,0,83,Jan
62,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8514,253,0,33,Jan
63,The Only Data Science Explanation You Need,2022-01-10,59234,2218,0,172,Jan
64,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14441,647,0,144,Jan
65,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,340150,14974,0,539,Dec
66,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,11862,417,0,67,Dec
67,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,8003,568,0,25,Dec
68,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,24602,1184,0,146,Dec
69,Why Is Data Engineering So HOT Right Now?,2021-11-26,29410,1101,0,141,Nov
70,Is Data Science Dying?,2021-11-19,122755,3863,0,362,Nov
71,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8070,386,0,112,Nov
72,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3628,203,0,48,Nov
73,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,13294,298,0,39,Oct
74,ML Ops: What is it REALLY?,2021-10-22,6839,283,0,65,Oct
75,Business Skills for Data Science: What are they REALLY?,2021-10-18,6794,301,0,50,Oct
76,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2205,123,0,5,Oct
77,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5907,282,0,64,Oct
78,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12782,529,0,112,Aug
79,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10192,433,0,32,Aug
80,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,40973,1595,0,32,Aug
81,How I Learned to Learn.,2021-07-31,50780,2366,0,209,Jul
82,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10467,578,0,50,Jul
83,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2391,93,0,30,Jul
84,Why are APIs Important for Data Science?,2021-07-09,9871,453,0,95,Jul
85,Is Your Phone REALLY Listening to You?,2021-07-03,5175,280,0,116,Jul
86,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,15137,596,0,121,Jun
87,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4092,225,0,41,Jun
88,#66DaysOfData - What is it? #shorts,2021-06-11,9128,393,0,54,Jun
89,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16622,1016,0,89,Jun
90,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7446,391,0,195,May
91,How Data Science Projects Pay Off,2021-05-22,10633,598,0,146,May
92,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10595,490,0,134,May
93,What is a lambda function (python)? #shorts,2021-05-13,15247,940,0,49,May
94,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,29442,1567,0,64,May
95,What is Pandas? (Data & Data Science) #shorts,2021-04-30,23584,1211,0,87,Apr
96,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77035,3430,0,284,Apr
97,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23467,693,0,85,Apr
98,Why You Probably Won't Become a Data Scientist,2021-04-09,138000,4038,0,480,Apr
99,How to Go From Data Analyst to Data Scientist,2021-04-02,53439,1533,0,177,Apr
100,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3973,138,0,92,Mar
101,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18164,350,0,108,Mar
102,My Regrets as a Data Science Student,2021-03-12,23928,882,0,112,Mar
103,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3828,196,0,83,Mar
104,What is the Future of my Comment Leaderboard Project?,2021-02-26,5568,201,0,81,Feb
105,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6704,172,0,51,Feb
106,Why I Quit Data Science,2021-02-12,104547,2342,0,346,Feb
107,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10696,556,0,116,Jan
108,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6994,294,0,126,Jan
109,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9637,299,0,52,Jan
110,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,22500,695,0,134,Jan
111,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,37477,1136,0,147,Jan
112,What is the #66DaysOfData?,2020-12-26,69744,2323,0,202,Dec
113,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131402,5971,0,488,Dec
